,Date,Ethereum_Price,Crypto Fear & Greed Index,Price_Change,Price_Movement
279,2019-09-12,181.05,39,0.0025959679646505585,up
280,2019-09-13,181.52,38,0.03927941824592329,flat
281,2019-09-14,188.65,39,0.0031274847601379108,up
282,2019-09-15,189.24,38,0.044335235679560325,up
283,2019-09-16,197.63,38,0.05171279664018624,up
284,2019-09-17,207.85,41,0.012172239595862333,up
285,2019-09-18,210.38,38,0.05067021579998099,down
286,2019-09-19,221.04,31,-0.01293883460007228,down
287,2019-09-20,218.18,41,-0.013429278577321457,down
288,2019-09-21,215.25,37,-0.018443670150987246,down
289,2019-09-22,211.28,37,-0.04879780386217347,down
290,2019-09-23,200.97,41,-0.17072199830820523,up
291,2019-09-24,166.66,39,0.02232089283571348,down
292,2019-09-25,170.38,15,-0.025120319286301207,up
293,2019-09-26,166.1,12,0.04924744130042158,flat
294,2019-09-27,174.28,24,-0.002008262565985741,down
295,2019-09-28,173.93,32,-0.02437762318173986,up
296,2019-09-29,169.69,33,0.06865460545700985,down
297,2019-09-30,181.34,27,-0.027021065402007327,up
298,2019-10-01,176.44,38,0.02635456812514181,down
299,2019-10-02,181.09,39,-0.03280136948478651,flat
300,2019-10-03,175.15,37,0.005423922352269406,flat
301,2019-10-04,176.1,30,0.005678591709256109,down
302,2019-10-05,177.1,31,-0.038114059853190274,up
303,2019-10-06,170.35,32,0.05899618432638687,flat
304,2019-10-07,180.4,27,0.0035476718403546492,up
305,2019-10-08,181.04,39,0.06843791427308887,flat
306,2019-10-09,193.43,37,-0.007599648451636298,down
307,2019-10-10,191.96,41,-0.057720358408001715,flat
308,2019-10-11,180.88,39,-0.004533392304290063,flat
309,2019-10-12,180.06,38,0.008108408308341808,up
310,2019-10-13,181.52,38,0.030740414279418093,down
311,2019-10-14,187.1,37,-0.034099412079102054,down
312,2019-10-15,180.72,39,-0.0319278441788402,up
313,2019-10-16,174.95,40,0.01406116033152327,down
314,2019-10-17,177.41,40,-0.022603009976889687,flat
315,2019-10-18,173.4,40,-0.006286043829296428,up
316,2019-10-19,172.31,41,0.020428297835296982,flat
317,2019-10-20,175.83,37,-0.008530967411704449,down
318,2019-10-21,174.33,37,-0.016921929673607616,down
319,2019-10-22,171.38,39,-0.05163963122884818,flat
320,2019-10-23,162.53,33,-0.00929059250599884,up
321,2019-10-24,161.02,20,0.12818283443050538,flat
322,2019-10-25,181.66,24,-0.009688428933171789,up
323,2019-10-26,179.9,53,0.024068927181767563,down
324,2019-10-27,184.23,50,-0.01134451500841338,up
325,2019-10-28,182.14,52,0.04875370594048545,down
326,2019-10-29,191.02,54,-0.040362265731337055,flat
327,2019-10-30,183.31,53,-0.004364191806229933,flat
328,2019-10-31,182.51,50,0.005150402717659208,flat
329,2019-11-01,183.45,49,-0.0010357045516489194,flat
